Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
DIANA-BROWN-BENCH	gracelynne-bench	Brown	MDF, Birch Veneer	n/a	52	20	18
DIANA-SILVER-BENCH	gracelynne-bench	SILVER	n/a	n/a	52	20	18
DIANA-BLACK-CH	gracelynne-chest	BLACK	n/a	n/a	42	18	57
DIANA-BROWN-CH	gracelynne-chest	Brown	MDF, Birch Veneer	n/a	42	18	57
DIANA-SILVER-CH	gracelynne-chest	SILVER	n/a	n/a	42	18	57
DIANA-BLACK-DR	gracelynne-dresser	BLACK	n/a	n/a	68	18	39
DIANA-BROWN-DR	gracelynne-dresser	Brown	MDF, Birch Veneer	n/a	68	18	39
DIANA-SILVER-DR	gracelynne-dresser	SILVER	n/a	n/a	68	18	39
DIANA-BLACK-MR	gracelynne-mirror	BLACK	n/a	n/a	52	3	45
DIANA-BROWN-MR	gracelynne-mirror	Brown	MDF, Birch Veneer, Glass	n/a	52	3	45
DIANA-SILVER-MR	gracelynne-mirror	SILVER	n/a	n/a	52	3	45
DIANA-BLACK-NS W/ USB	gracelynne-nightstand	BLACK	n/a	n/a	29	18	29
DIANA-BROWN-NS W/ USB	gracelynne-nightstand	Brown	MDF, Birch Veneer	n/a	29	18	28
DIANA-SILVER-NS W/ USB	gracelynne-nightstand	SILVER	n/a	n/a	29	18	29
MIRROR(8856)-CHAMP-FB "UPHOLSTERED" 	grady-bed	CHAMPAGNE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	83	78	64
MIRROR(8856)-CHAMP-KB "UPHOLSTERED" 	grady-bed	CHAMPAGNE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	99	87	64
MIRROR(8856)-CHAMP-QB "UPHOLSTERED"	grady-bed	CHAMPAGNE	MDF, SPECIAL PARTICLE BOARD, POPLAR LVL SLATS 	n/a	85	67	62
MARSEILLE-CH-KB W/O TOWER	graham-bed	Brown	Poplar	n/a	89	84	72.5
MARSEILLE-CH-KB W/TOWER	graham-bed	Brown	Poplar	n/a	107.5	84	72.5
MARSEILLE-CH-QB W/O TOWER	graham-bed	Brown	Poplar	n/a	89	68	72.5
MARSEILLE-CH-QB W/TOWER	graham-bed	Brown	Poplar	n/a	107.5	68	72.5
MARSEILLE-GR-KB W/O TOWER	graham-bed	Grey	Poplar	n/a	89	84	72.5
MARSEILLE-GR-KB W/TOWER	graham-bed	Grey	Poplar	n/a	107.5	84	72.5
MARSEILLE-GR-QB W/O TOWER	graham-bed	Grey	Poplar	n/a	89	68	72.5
MARSEILLE-GR-QB W/TOWER	graham-bed	Grey	Poplar	n/a	107.5	68	72.5
MARSEILLE-CHERRY-CH	graham-chest	n/a	n/a	n/a	42	21	58
MARSEILLE-GREY-CH	graham-chest	n/a	n/a	n/a	42	21	58
MARSEILLE-CHERRY-DR	graham-dresser	n/a	n/a	n/a	70	20	42
MARSEILLE-GREY-DR	graham-dresser	n/a	n/a	n/a	70	20	42
MARSEILLE-CHERRY-MR	graham-mirror	n/a	n/a	n/a	52	5	41
MARSEILLE-GREY-MR	graham-mirror	n/a	n/a	n/a	52	5	41
MARSEILLE-CHERRY-NS W/USB	graham-nightstand	n/a	n/a	n/a	30	18	30.5
