Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	162	21620F	BLACK FULL BED WITH STORAGE	 $ 1,034.00 	4		302	44.86	Ireland
2022	240	21637EK	EASTERN KING BED	 $ 195.80 		1	82	5.5	Ishiko Iii
2022	240	21640Q	QUEEN BED	 $ 160.60 		1	66	4.5	Ishiko Iii
2022	161	21677EK	OAK EK BED WITH STORAGE	 $ 633.60 	3		159	20.95	Merrilee
2022	161	21680Q	OAK QUEEN BED WITH STORAGE	 $ 514.80 	3		147	21.01	Merrilee
2022	161	21683	NIGHTSTAND	 $ 212.30 		1	52	8.46	Merrilee
2022	161	21684	MIRROR	 $ 102.30 		1	33	3.44	Merrilee
2022	161	21685	DRESSER	 $ 566.50 		1	143	25.19	Merrilee
2022	161	21686	CHEST	 $ 481.80 		1	140	21.56	Merrilee
2022	163	21696EK	EK BED WITH STORAGE	 $ 1,298.00 	4		352	53.46	Ireland
2022	163	21700Q	QUEEN BED WITH STORAGE	 $ 1,156.10 	4		333	43.34	Ireland - Storage
2022	163	21704	NIGHTSTAND	 $ 229.90 		1	56	10.94	Ireland - I/Storage
2022	163	21705	MIRROR	 $ 108.90 		1	32	3.98	Ireland - I/Storage
2022	163	21706	DRESSER	 $ 682.00 		1	161	30.18	Ireland - I/Storage
2022	163	21707	CHEST	 $ 485.10 		1	110	19.81	Ireland - I/Storage
2022	163	21710F	WHITE FULL BED WITH STORAGE	 $ 1,034.00 	4		302	44.86	Ireland
2022	89	21754CK	CAL.KING BED	 $ 2,175.80 	3		326	44.77	Versailles
2022	89	21757EK	EASTERN KING BED	 $ 2,175.80 	3		308	47.69	Versailles
2022	89	21760Q	QUEEN BED	 $ 2,115.30 	3		292	41.12	Versailles
2022	88	21784CK	CAL.KING BED	 $ 2,175.80 	3		252	44.77	Versailles
2022	88	21787EK	EASTERN KING BED	 $ 2,175.80 	3		339	47.69	Versailles
2022	88	21790Q	QUEEN BED	 $ 2,115.30 	3		292	41.12	Versailles
2022	124	21794CK	CAL.KING BED	 $ 964.70 	3		196	27.78	Maverick
2022	124	21797EK	EASTERN KING BED(SHARE HB&FB)	 $ 964.70 	3		196	27.58	Maverick
2022	124	21800Q	QUEEN BED	 $ 770.00 	3		163	22.89	Maverick
2022	124	21803	NIGHTSTAND	 $ 269.50 		1	74	9.38	Maverick
2022	457	21804	MIRROR	 $ 200.20 		1	44	4.69	Maverick
2022	124	21805	DRESSER	 $ 841.50 		1	223	29.34	Maverick
2022	124	21806	CHEST	 $ 702.90 		1	179	24.31	Maverick
2022	124	21807	LINGERIE CHEST	 $ 468.60 		1	139	16.1	Maverick
2022	125	21817EK	EASTERN KING BED	 $ 723.80 	3		183	17.18	Antares
2022	125	21820Q	QUEEN BED	 $ 630.30 	3		154	14.15	Antares
