Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
BEVERLY-BL-FB	glad	FULL BED		
BEVERLY-BL-KB	glad	KING BED		
BEVERLY-BL-QB	glad	QUEEN BED		
BEVERLY-METALLIC BLACK-CH	glad	CHEST		
BEVERLY-METALLIC BLACK-DR	glad	DRESSER		
BEVERLY-METALLIC BLACK-MR	glad	MIRROR		
BEVERLY-METALLIC BLACK-NS	glad	NIGHTSTAND		
BORDEAUX-FB	gloriana	FULL BED		
BORDEAUX-KB	gloriana	KING BED		
BORDEAUX-PU/GOLD-CH	gloriana	CHEST GOLD		
BORDEAUX-PU/GOLD-DR 	gloriana	DRESSER GOLD		
BORDEAUX-PU/GOLD-MR	gloriana	MIRROR GOLD		
BORDEAUX-PU/GOLD-NS 	gloriana	NIGHT STAND GOLD		
BORDEAUX-QB	gloriana	QUEEN BED		
CARTER - CH	gloriann	CHEST		
CARTER - D	gloriann	DRESSER		
CARTER - M	gloriann	MIRROR		
CARTER - NS	gloriann	NIGHTSTAND		
CARTER-FB	gloriann	FULL BED		
CARTER-KB	gloriann	KING BED		
CARTER-QB	gloriann	QUEEN BED		
CASSIE-WH-KB	gote	KING BED		
CASSIE-WH-QB	gote	QUEEN BED		
CASSIE-WHITE/SILVER-CH	gote	CHEST		
CASSIE-WHITE/SILVER-DR	gote	DRESSER		
CASSIE-WHITE/SILVER-MR	gote	MIRROR		
CASSIE-WHITE/SILVER-NS	gote	NIGHTSTAND		
CATANIA-BLACK-CH	gracella	CHEST BLACK		
CATANIA-BLACK-DR	gracella	DRESSER BLACK		
CATANIA-BLACK-MR	gracella	MIRROR BLACK		
CATANIA-BLACK-NS	gracella	NIGHTSTAND BLACK		
CATANIA-FB	gracella	FULL BED BLACK		
CATANIA-KB	gracella	KING BED BLACK		
CATANIA-QB	gracella	QUEEN BED BLACK		
DIANA-BL-FB	gracelynne	FULL BED		
DIANA-BL-KB	gracelynne	KING BED		
DIANA-BL-QB	gracelynne	QUEEN BED		
DIANA-BLACK-BENCH	gracelynne	BENCH		
DIANA-BLACK-CH	gracelynne	CHEST		
DIANA-BLACK-DR	gracelynne	DRESSER		
DIANA-BLACK-MR	gracelynne	MIRROR		
DIANA-BLACK-NS W/ USB	gracelynne	NIGHTSTAND		
DIANA-BR-FB	gracelynne	FULL BED		
DIANA-BR-KB	gracelynne	KING BED		
DIANA-BR-QB	gracelynne	QUEEN BED		
DIANA-BROWN-BENCH	gracelynne	BENCH		
