sku	locations.la_qty	locations.sf_qty	locations.fl_qty	locations.ga_qty	locations.tx_qty	locations.nj_qty	locations.ny_qty	locations.la_warehouse_eta
30368	0	0	3	0	0	1	0	NONE
83335	0	0	0	0	0	0	0	NONE
84515	0	1	0	0	0	0	0	NONE
84590	0	1	1	0	0	0	0	NONE
88045	37	0	0	0	0	21	9	NONE
88055	59	0	0	12	3	0	14	NONE
88070	59	5	0	3	0	25	1	NONE
88265	11	0	0	1	0	0	0	NONE
84690	24	0	2	0	0	2	9	NONE
84695	2	1	0	0	0	0	0	NONE
84700	0	0	0	0	0	0	4	NONE
30327	0	0	1	1	0	0	0	NONE
30328	0	0	0	0	1	0	0	NONE
70467	0	1	0	0	0	0	0	NONE
92340	143	0	3	0	2	0	3	NONE
92215	0	0	0	0	0	0	1	NONE
27647EK	37	0	1	1	0	9	15	NONE
84692	22	0	0	0	0	1	5	NONE
84697	42	1	1	2	0	2	26	NONE
84702	34	0	0	0	0	0	0	NONE
87363	21	0	0	0	0	2	0	NONE
81607	0	0	1	0	0	0	0	NONE
81652	0	0	0	0	0	0	1	NONE
84557	0	0	0	0	0	0	0	NONE
84562	0	0	1	0	0	0	0	NONE
88047	5	0	0	0	0	19	0	NONE
88057	0	5	0	0	0	2	3	NONE
88267	15	0	0	2	0	0	0	NONE
30465F-BK	0	6	0	1	3	0	3	NONE
30465F-WH	50	0	0	1	1	0	3	NONE
27245F	0	0	0	0	0	0	0	NONE
29101	0	1	0	1	0	0	0	NONE
92960	48	6	0	0	0	3	0	NONE
59115	0	0	1	0	0	0	0	NONE
52421	51	6	0	6	6	10	4	NONE
30324	0	0	0	1	0	0	0	NONE
56870	35	6	5	0	1	0	1	NONE
30512	0	1	0	0	0	0	1	NONE
10313	0	0	0	0	0	1	0	NONE
92502	0	0	2	0	0	0	0	NONE
56876	2	3	2	0	0	0	0	NONE
97940	11	0	0	0	0	18	0	NONE
97941	45	3	0	0	0	28	2	NONE
97942	43	4	0	3	0	2	3	NONE
97943	8	2	0	0	0	1	25	NONE
59940	14	0	0	0	0	0	0	NONE
59941	10	0	0	0	0	0	0	NONE
59943	9	0	0	0	0	0	0	NONE
59942	8	0	0	0	0	0	0	NONE
22160Q	114	0	2	3	2	2	3	NONE
59934	8	0	0	0	2	0	0	NONE
60122	0	1	0	0	0	0	0	NONE
70272	0	2	0	0	0	0	0	NONE
72027	0	0	0	0	1	0	0	NONE
52660	1	0	0	0	0	1	0	NONE
54180	0	0	0	0	0	0	0	NONE
52420	57	2	0	1	4	8	6	NONE
88833	0	1	0	2	0	0	0	NONE
38328	93	0	0	0	3	0	3	NONE
38333	85	0	2	0	1	0	3	NONE
30468BK	0	0	2	0	2	0	0	NONE
30468WH	0	1	0	0	1	1	0	NONE
30463BK	0	0	2	0	2	0	0	NONE
30463SI	0	0	0	2	0	0	0	NONE
30463WH	14	0	0	0	2	0	0	NONE
30460T-BK	0	1	1	0	1	0	0	NONE
27240T	0	0	0	0	0	0	0	NONE
29100	1	0	0	0	0	0	1	NONE
93003	69	2	0	1	0	0	0	NONE
93005	38	2	0	2	2	0	1	NONE
93008	66	2	2	1	1	0	2	NONE
93009	197	2	0	2	2	0	1	NONE
93013	529	2	2	2	2	0	3	NONE
93014	2	1	0	0	2	0	0	NONE
93020	155	1	2	2	2	0	0	NONE
93024	2	1	1	0	0	0	2	NONE
54465	2	0	0	0	0	0	0	NONE
28037EK	72	0	2	3	2	0	0	NONE
28040Q	0	4	0	1	2	0	1	2023-02-05
DN00088	28	3	1	3	2	0	0	NONE
DN00089	77	0	0	2	3	0	0	NONE
